Name,Market Cap (GBP$ Billion)
JPMorgan Chase,366.352
Bank of America,284.438
Industrial and Commercial Bank of China,184.875
Wells Fargo,231.01
China Construction Bank,193.049
HSBC Holdings PLC,164.453
Agricultural Bank of China,152.433
Citigroup Inc.,152.374
Bank of China,136.102
HDFC Bank,100.8
Goldman Sachs,98.76
China Merchants Bank,91.962
Royal Bank of Canada,91.923
Banco Santander,86.772
Commonwealth Bank,84.17
Mitsubishi UFJ Financial Group,83.745
Toronto-Dominion Bank,81.337
Sberbank of Russia,74.88
Morgan Stanley,74.738
U.S. Bancorp,70.919
BNP Paribas,69.997
Itaú Unibanco,64.652
Westpac,63.42
Scotiabank,59.21
ING Group,59.19
UBS,56.612
Charles Schwab,55.691
PNC Financial Services,54.184
Lloyds Banking Group,53.44
Sumitomo Mitsui Financial Group,50.496
Bank of Communications,50.308
Australia and New Zealand Banking Group,49.836
Banco Bradesco,48.612
National Australia Bank,47.846
Intesa Sanpaolo,46.524
Banco Bilbao Vizcaya Argentaria,45.508
Japan Post Bank,45.394
The Bank of New York Mellon,44.867
Shanghai Pudong Development Bank,44.097
Industrial Bank (China),43.041
Bank of China (Hong Kong),41.587
Bank of Montreal,39.886
Crédit Agricole,39.106
DBS Bank,38.606
Nordea,38.389
Capital One,38.33
NatWest Group,37.868
Mizuho Financial Group,37.514
Credit Suisse,36.347
Postal Savings Bank of China,35.961
China Minsheng Bank,35.941
UniCredit,35.833
China CITIC Bank,35.588
Hang Seng Bank,34.628
Société Générale,34.538
Barclays,34.388
Canadian Imperial Bank of Commerce,32.658
Bank Central Asia,32.508
Truist Financial,31.442
Oversea-Chinese Banking Corp,31.022
State Bank of India,41.775
State Street Corporation,29.827
Deutsche Bank,28.987
KBC Bank,28.795
Danske Bank,28.667
Ping An Bank,28.495
Standard Chartered,27.989
United Overseas Bank,26.346
QNB Group,25.17
Bank Rakyat Indonesia,24.811
